identifier	(	)	{	}	,	=	integerLiteral	*	+	<	!	if	else	while	int	;	$	program'	program	function	parameterList	assignmentStatement	expression	declarationStatement	conditionalStatement	loopStatement	statement	blockStatement
s52	 	 	 	r26	 	 	 	 	 	 	 	s11	 	s10	s5	s9	 	 	 	 	 	6	 	 	8	7	51	54
 	 	 	 	s55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
s52	 	 	 	r26	 	 	 	 	 	 	 	s11	 	s10	s5	s9	 	 	 	 	 	6	 	 	8	7	51	56
 	 	 	 	 	 	s15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	s57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	s58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r4	 	 	 	 	 	 	 	 	 	 	 	r4	 	r4	r4	r4	r4	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r19	 	 	 	r19	 	 	 	 	 	 	 	r19	 	r19	r19	r19	r19	 	 	 	 	 	 	 	 	 	 	 
r17	 	 	 	r17	 	 	 	 	 	 	 	r17	s59	r17	r17	r17	r17	 	 	 	 	 	 	 	 	 	 	 
 	 	 	s60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
s52	 	 	 	r26	 	 	 	 	 	 	 	s11	 	s10	s5	s9	 	 	 	 	 	6	 	 	8	7	51	61
 	 	 	 	s62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r18	 	 	 	r18	 	 	 	 	 	 	 	r18	 	r18	r18	r18	r18	 	 	 	 	 	 	 	 	 	 	 
